City,Date,AQI,Population,Literacy_rate,GDP
Ahmedabad,2019-10-28,212,7868633,0.886363636,68
Amaravati,2019-10-28,67,741000,0.920634921,62.9
Bengaluru,2019-10-28,88,11883000,0.887096774,78
Bhopal,2019-10-28,228,2333000,0.833333333,4
Chennai,2019-10-28,208,10711243,0.901960784,70
Delhi,2019-10-28,417,29399000,0.862068966,272
Hyderabad,2019-10-28,126,9741000,0.833333333,74
Jaipur,2019-10-28,355,3812000,0.727272727,40
Kolkata,2019-10-28,289,14755000,0.863157895,150.1
Lucknow,2019-10-28,356,3590000,0.825,7.68
Mumbai,2019-10-28,92,20185000,0.897435897,277
Patna,2019-10-28,408,2378000,0.833333333,15.5
Thiruvananthapuram,2019-10-28,69,2477000,0.951219512,13.6
Visakhapatnam,2019-10-28,284,2125000,0.818181818,43.5